source_instance,branch_node_id,episode,column_index,pattern_id,product,period,pattern_flows_json,column_features_json,constraint_features_json,constraint_state_hash,edge_constraint_indices_json,edge_attrs_json,gnn_prob,combined_score,normalized_rc_gain,reduced_cost,mean_acceptance_score,selected_by_gnn,selected_by_classical_fallback,passed_to_rmp,adaptive_k_star,selection_mode,full_negative_reduced_cost_columns,classical_fallback_enabled,classical_fallback_used,label_source,selected_in_rmp,lambda_value,teacher_label,teacher_score,cg_objective_after_reopt,cg_objective_improvement
base_a__normal_global__seed1373158607,0,1,0,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T2_1,OREO CHOCOLATE 110.4/105G,2,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 55.48989529073056}, {""donor"": ""MM BINH PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 28.916447943281312}, {""donor"": ""MM AN PHU"", ""receiver"": ""MM DA NANG"", ""quantity"": 16.342590526997224}]","[-38.2995719909668, 100.74893188476562, 3.0, 100.74893188476562, 100.74893188476562, 0.6400796175003052, 0.3333333432674408, 0.8829560875892639, 12.766524314880371, 0.10000000149011612, 19.564666748046875, 66.4493637084961]","[[1.0, 188.5517578125, 188.5517578125, 0.0, 1.0, 1.0, 0.0], [0.0, 55.48989486694336, 55.48989486694336, 0.0, 0.01770228147506714, 0.0, 1.0], [0.0, 28.91644859313965, 28.91644859313965, 0.0, 0.0334264300763607, 0.0, 1.0], [1.0, 16.34259033203125, 16.34259033203125, 0.0, 1.0, 1.0, 0.0], [0.0, 22.799999237060547, 16.34259033203125, 6.457409381866455, 0.042016807943582535, 0.0, 1.0], [820.0, 267.0871887207031, 38.73021697998047, 228.3569793701172, 1.0, 1.0, 0.0], [0.0, 38.73021697998047, 38.73021697998047, 0.0, 0.02516975998878479, 0.0, 1.0], [820.0, 68.06057739257812, 38.2525749206543, 29.808000564575195, 1.0, 1.0, 0.0], [0.0, 38.2525749206543, 38.2525749206543, 0.0, 0.025476036593317986, 0.0, 1.0], [820.0, 503.1941223144531, 112.92923736572266, 390.2648620605469, 1.0, 1.0, 0.0], [0.0, 43.56716537475586, 43.56716537475586, 0.0, 0.022438043728470802, 0.0, 1.0], [1.0, 5.800000190734863, 5.800000190734863, 0.0, 1.0, 1.0, 0.0], [820.0, 6.172263145446777, 6.172263145446777, 0.0, 1.0, 1.0, 0.0], [820.0, 518.3478393554688, 48.14299011230469, 470.2048645019531, 1.0, 1.0, 0.0], [0.0, 27.7978458404541, 27.7978458404541, 0.0, 0.03472482040524483, 0.0, 1.0], [1.0, 10.84056568145752, 10.84056568145752, 0.0, 1.0, 1.0, 0.0], [1.0, 13.569417953491211, 13.569417953491211, 0.0, 1.0, 1.0, 0.0], [820.0, 14.23792839050293, 6.107758045196533, 8.130170822143555, 1.0, 1.0, 0.0], [0.0, 6.107758045196533, 6.107758045196533, 0.0, 0.140691339969635, 0.0, 1.0], [1.0, 46.37331008911133, 46.37331008911133, 0.0, 1.0, 1.0, 0.0], [0.0, 261.92999267578125, 82.33972930908203, 179.5902557373047, 0.0038032936863601208, 0.0, 1.0], [0.0, 120.12442779541016, 46.37331008911133, 73.75111389160156, 0.008255972526967525, 0.0, 1.0], [0.0, 10.406890869140625, 10.406890869140625, 0.0, 0.08766631036996841, 0.0, 1.0], [1.0, 129.550048828125, 129.550048828125, 0.0, 1.0, 1.0, 0.0], [0.0, 259.0377197265625, 226.1752471923828, 32.86248016357422, 0.0038455957546830177, 0.0, 1.0], [0.0, 100.41946411132812, 100.41946411132812, 0.0, 0.009860039688646793, 0.0, 1.0], [0.0, 32.92485809326172, 32.92485809326172, 0.0, 0.029476908966898918, 0.0, 1.0], [820.0, 300.0225524902344, 300.0225524902344, 0.0, 1.0, 1.0, 0.0], [0.0, 258.5476989746094, 258.5476989746094, 0.0, 0.00385285634547472, 0.0, 1.0], [0.0, 94.91446685791016, 94.91446685791016, 0.0, 0.01042595598846674, 0.0, 1.0], [0.0, 10.624368667602539, 10.624368667602539, 0.0, 0.08602617681026459, 0.0, 1.0], [820.0, 142.7974090576172, 116.02189636230469, 26.775510787963867, 1.0, 1.0, 0.0], [0.0, 104.9087142944336, 104.9087142944336, 0.0, 0.009442093782126904, 0.0, 1.0], [0.0, 11.113179206848145, 11.113179206848145, 0.0, 0.08255471289157867, 0.0, 1.0], [1.0, 13.343910217285156, 13.343910217285156, 0.0, 1.0, 1.0, 0.0], [0.0, 75.28121948242188, 13.343910217285156, 61.93730926513672, 0.013109386898577213, 0.0, 1.0], [0.0, 121.73600006103516, 13.343910217285156, 108.39208984375, 0.008147568441927433, 0.0, 1.0], [0.0, 12.614691734313965, 12.614691734313965, 0.0, 0.07345006614923477, 0.0, 1.0], [820.0, 5.992465019226074, 5.992465019226074, 0.0, 1.0, 1.0, 0.0], [0.0, 57.79315185546875, 5.992465019226074, 51.80068588256836, 0.017008783295750618, 0.0, 1.0], [0.0, 111.56731414794922, 5.992465019226074, 105.5748519897461, 0.008883573114871979, 0.0, 1.0]]",a04a9a1d0469,"[0, 1, 0, 2, 3, 4]","[[55.48989486694336, 0.2942953109741211, 55.48989486694336], [55.48989486694336, 1.0, 0.0], [28.91644859313965, 0.15336079895496368, 28.91644859313965], [28.91644859313965, 1.0, 0.0], [16.34259033203125, 1.0, 16.34259033203125], [16.34259033203125, 0.7167803049087524, 0.0]]",0.0,0.010041856913891188,0.00013952304630395518,-34.299574,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,True,1.0,1,34.299574,17387984625.39896,0.7357559204101562
base_a__normal_global__seed1373158607,0,1,1,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T2_4,OREO CHOCOLATE 110.4/105G,2,"[{""donor"": ""MM BINH PHU"", ""receiver"": ""MM DA NANG"", ""quantity"": 16.342590526997224}, {""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 55.48989529073056}, {""donor"": ""MM BINH PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 12.573857416284088}]","[-31.762537002563477, 84.40634155273438, 3.0, 84.40634155273438, 84.40634155273438, 0.6400796175003052, 0.35235100984573364, 0.8829560875892639, 10.587512016296387, 0.10000000149011612, 19.564666748046875, 56.64380645751953]",,a04a9a1d0469,"[3, 2, 0, 1, 0, 2]","[[16.34259033203125, 1.0, 16.34259033203125], [16.34259033203125, 0.5651658773422241, 0.0], [55.48989486694336, 0.2942953109741211, 55.48989486694336], [55.48989486694336, 1.0, 0.0], [12.573857307434082, 0.06668650358915329, 12.573857307434082], [12.573857307434082, 0.4348340928554535, 0.0]]",0.0,0.010033879549658837,0.00011293183219611614,-27.762537,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,True,0.07233938157998276,1,2.0083247576713896,17387984625.39896,0.7357559204101562
base_a__normal_global__seed1373158607,0,1,2,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T2_5,OREO CHOCOLATE 110.4/105G,2,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM DA NANG"", ""quantity"": 16.342590526997224}, {""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 39.14730476373333}, {""donor"": ""MM BINH PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 28.916447943281312}]","[-31.762537002563477, 84.40634155273438, 3.0, 84.40634155273438, 84.40634155273438, 0.6400796175003052, 0.4349749982357025, 0.8829560875892639, 10.587512016296387, 0.10000000149011612, 19.564666748046875, 56.64380645751953]",,a04a9a1d0469,"[3, 1, 0, 1, 0, 2]","[[16.34259033203125, 1.0, 16.34259033203125], [16.34259033203125, 0.2945147156715393, 0.0], [39.14730453491211, 0.2076210081577301, 39.14730453491211], [39.14730453491211, 0.7054852843284607, 0.0], [28.91644859313965, 0.15336079895496368, 28.91644859313965], [28.91644859313965, 1.0, 0.0]]",0.0,0.010033879549658837,0.00011293183219611614,-27.762537,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,False,0.0,0,0.0,17387984625.39896,0.7357559204101562
base_a__normal_global__seed1373158607,0,1,3,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T3_1,OREO CHOCOLATE 110.4/105G,3,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 38.73021646008189}]","[-31733.5390625, 38.73021697998047, 1.0, 38.73021697998047, 38.73021697998047, 0.9882082343101501, 1.0, 1.0, 31733.5390625, 0.10000000149011612, 27.412960052490234, 25.238130569458008]",,a04a9a1d0469,"[5, 6]","[[38.73021697998047, 0.14500963687896729, 31758.77734375], [38.73021697998047, 1.0, 0.0]]",0.0,0.04872549626263865,0.12908498754212883,-31733.539367,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,True,1.0,1,31733.539367,17387984625.39896,0.7357559204101562
base_a__normal_global__seed1373158607,0,1,4,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_1,OREO CHOCOLATE 110.4/105G,4,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 38.25257405240775}]","[-31342.158203125, 38.2525749206543, 1.0, 38.2525749206543, 38.2525749206543, 1.0, 1.0, 0.9232442378997803, 31342.158203125, 0.10000000149011612, 27.126068115234375, 24.9515438079834]",,a04a9a1d0469,"[7, 8]","[[38.2525749206543, 0.5620371699333191, 31367.111328125], [38.2525749206543, 1.0, 0.0]]",0.0,0.04824788196842518,0.1274929398947506,-31342.159179,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,True,1.0,1,31342.159179,17387984625.39896,0.7357559204101562
base_a__normal_global__seed1373158607,0,1,5,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T5_1,OREO CHOCOLATE 110.4/105G,5,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 43.56716651493747}]","[-35696.9375, 43.56716537475586, 1.0, 43.56716537475586, 43.56716537475586, 0.9767603874206543, 0.9422296285629272, 1.0, 35696.9375, 0.10000000149011612, 14.033205032348633, 28.140300750732422]",,a04a9a1d0469,"[9, 10]","[[43.56716537475586, 0.08658123016357422, 35725.078125], [43.56716537475586, 1.0, 0.0]]",0.0,0.05356216163094535,0.1452072054364845,-35696.936242,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,True,1.0,1,35696.936242,17387984625.39896,0.7357559204101562
base_a__normal_global__seed1373158607,0,1,6,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T5_3,OREO CHOCOLATE 110.4/105G,5,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM BINH PHU"", ""quantity"": 5.799999999999997}, {""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 37.76716651493747}]","[-30946.736328125, 43.56716537475586, 2.0, 43.56716537475586, 43.56716537475586, 0.49400943517684937, 0.9422296285629272, 1.0, 15473.3681640625, 0.10000000149011612, 14.033205032348633, 30.140300750732422]",,a04a9a1d0469,"[11, 10, 9, 10]","[[5.800000190734863, 1.0, 5.800000190734863], [5.800000190734863, 0.13312777876853943, 0.0], [37.76716613769531, 0.07505486905574799, 30969.076171875], [37.76716613769531, 0.866872251033783, 0.0]]",0.0,0.04776289350610809,0.12587631168702695,-30944.736242,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,True,0.1473762051522722,1,4560.5177967839445,17387984625.39896,0.7357559204101562
base_a__normal_global__seed1373158607,0,1,7,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T5_2,OREO CHOCOLATE 110.4/105G,5,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM DA NANG"", ""quantity"": 6.172263375145784}, {""donor"": ""MM HIEP PHU"", ""receiver"": ""MM BINH PHU"", ""quantity"": 5.799999999999997}, {""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 31.59490313979169}]","[-30946.736328125, 43.56716537475586, 3.0, 43.56716537475586, 43.56716537475586, 0.3333333432674408, 0.9422296285629272, 0.9077280759811401, 10315.5791015625, 0.10000000149011612, 14.033205032348633, 32.14030075073242]",,a04a9a1d0469,"[12, 10, 11, 10, 9, 10]","[[6.172263145446777, 1.0, 5061.255859375], [6.172263145446777, 0.14167235791683197, 0.0], [5.800000190734863, 1.0, 5.800000190734863], [5.800000190734863, 0.13312777876853943, 0.0], [31.59490394592285, 0.0627886950969696, 25907.8203125], [31.59490394592285, 0.7251998782157898, 0.0]]",0.0,0.047760452839416934,0.1258681761313898,-30942.736242,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,False,0.0,0,0.0,17387984625.39896,0.7357559204101562
base_a__normal_global__seed1373158607,0,1,8,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_1,OREO CHOCOLATE 110.4/105G,6,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 27.797845766872975}]","[-22775.5546875, 27.7978458404541, 1.0, 27.7978458404541, 27.7978458404541, 0.9550260305404663, 0.9025905728340149, 1.0, 22775.5546875, 0.10000000149011612, 13.797118186950684, 18.678707122802734]",,a04a9a1d0469,"[13, 14]","[[27.7978458404541, 0.05362778156995773, 22794.234375], [27.7978458404541, 1.0, 0.0]]",0.0,0.03779376901201734,0.09264589670672448,-22775.554821,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,True,1.0,1,22775.554821,17387984625.39896,0.7357559204101562
base_a__normal_global__seed1373158607,0,1,9,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3,OREO CHOCOLATE 110.4/105G,6,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM BINH PHU"", ""quantity"": 10.84056563725549}, {""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 16.957280129617484}]","[-13897.1318359375, 27.7978458404541, 2.0, 27.7978458404541, 27.7978458404541, 0.48749956488609314, 0.9025905728340149, 0.8369765877723694, 6948.56591796875, 0.10000000149011612, 13.797118186950684, 20.678707122802734]",,a04a9a1d0469,"[15, 14, 13, 14]","[[10.84056568145752, 1.0, 10.84056568145752], [10.84056568145752, 0.3899786174297333, 0.0], [16.957279205322266, 0.03271409124135971, 13904.9697265625], [16.957279205322266, 0.6100213527679443, 0.0]]",0.0,0.02695669238868845,0.056522307962294835,-13895.131564,0.1,False,False,True,27,teacher_full_batch_no_gnn_prefilter,27,False,False,teacher_rmp,True,0.7481225884249084,1,10395.261792164325,17387984625.39896,0.7357559204101562
