store,sku,period,predicted_end_qty,actual_end_qty,error
MM AN PHU,GIFT SET ORION AN 2 890.6G,2,1466.0,1484.0,-18.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,3,1458.0,1476.0,-18.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,4,1435.0,1453.0,-18.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,5,1408.0,1426.0,-18.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,6,1396.0,1414.0,-18.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,7,1286.0,1304.0,-18.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,8,1230.0,1248.0,-18.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,9,1115.0,1133.0,-18.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,10,1073.0,1091.0,-18.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,11,848.0,1150.0,-302.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,12,726.0,1028.0,-302.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,13,599.0,901.0,-302.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,14,446.0,748.0,-302.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,15,129.0,431.0,-302.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,16,37.0,303.0,-266.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,17,0.0,146.0,-146.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,18,66.0,92.0,-26.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,19,66.0,91.0,-25.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,20,30.0,55.0,-25.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,21,6.0,31.0,-25.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,22,0.0,25.0,-25.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,23,0.0,23.0,-23.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,24,0.0,23.0,-23.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,25,0.0,19.0,-19.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,26,1.0,0.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,27,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,28,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,29,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,30,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,31,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,32,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,33,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,34,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,35,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,36,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,37,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,38,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,39,0.0,0.0,0.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,40,0.0,0.0,0.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,41,0.0,0.0,0.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,42,0.0,0.0,0.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,43,0.0,0.0,0.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,44,0.0,0.0,0.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,45,0.0,-1.0,1.0
MM AN PHU,GIFT SET ORION AN 2 890.6G,46,0.0,-1.0,1.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,2,94.0,4.0,90.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,3,85.0,3.0,82.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,4,62.0,4.0,58.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,5,37.0,3.0,34.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,6,20.0,2.0,18.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,7,0.0,5.0,-5.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,8,0.0,0.0,0.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,9,0.0,7.0,-7.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,10,0.0,1.0,-1.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,11,0.0,7.0,-7.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,12,0.0,0.0,0.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,13,0.0,3.0,-3.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,14,0.0,1.0,-1.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,15,0.0,0.0,0.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,16,0.0,7.0,-7.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,17,0.0,1.0,-1.0
MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,18,0.0,1.0,-1.0
